Title,Deductive Reasoning,Mathematical Reasoning,Memorization,Perceptual Speed,Problem Sensitivity,Selective Attention,Speed of Closure,Time Sharing,Written Comprehension
Accountants and Auditors,1.0185815980175077,1.3579911718260445,-0.12499061705262979,0.10981698441542742,0.6139034417359737,-0.9813244700405457,0.9015285159342428,-0.749084716639281,0.6359830028420824
Actors,-1.0654270023058539,-1.6994257578469174,4.736982318808466,-1.838488744820695,-0.9056035511253395,0.12592746916040956,-0.6890265689950422,0.6419578594047268,0.024271104023845885
Actuaries,1.687944408928897,3.8726713684209666,0.16389807072287446,-0.03337697786696023,0.7562940823295278,1.1175965615333996,0.25617220806655566,-0.7789121402971441,1.1636107918571257
Acupuncturists,0.5578474076412219,-0.7345604545970674,-0.9460738341522693,-0.34363056281213333,0.5087321620145204,-0.0937653759191448,-0.8108770606903402,-0.6704487815412764,0.32276969382518483
Acute Care Nurses,1.0437364802120603,0.3846832971727588,1.342934894123583,0.4352578077844902,2.0202635775460975,0.6019286334994455,1.5513978049758308,1.2276599966864143,1.082679836171551
Adapted Physical Education Specialists,0.5578474076412219,-0.7345604545970674,0.8113816819000417,-0.03337697786696023,0.5087321620145204,0.12592746916040956,0.5712234238165083,0.8450012669957117,0.43207903656933705
Adhesive Bonding Machine Operators and Tenders,-1.0806110358236927,-0.4933441287846049,-1.08913687966951,0.9299278593054658,-0.7977737456273082,0.6019286334994455,-0.8108770606903402,-0.29760598581798003,-0.8628162543998518
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.7005977701937627,-0.40771233312118077,0.6350194792365467,-0.6278488818877812,0.760122359447801,0.12592746916040956,0.1120275893721921,0.25420135185249865,1.6365839095000922
Administrative Services Managers,0.30255319076129417,-0.11945882377528783,0.46699439888078076,-0.6300184873769087,-0.004203801318570839,0.12592746916040956,-0.33502832571433316,1.2198506348559917,0.5329799683331701
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",-0.04556608435768789,0.21100754258778562,0.9877438845635367,-0.4914240887314701,-0.23682480676920578,-0.3134582209986992,0.25617220806655566,0.25420135185249865,0.5329799683331701
Advanced Practice Psychiatric Nurses,1.0437364802120603,-0.04362041093984961,0.8113816819000417,0.12908308115887573,2.647675660818668,0.35440802804314625,1.0574971453042241,0.25420135185249865,0.850397482840228
Advertising Sales Agents,-0.3936853594766695,0.21100754258778562,0.6029536242068201,-0.34363056281213333,-0.9056035511253395,-0.3134582209986992,0.40988434684958647,0.8450012669957117,0.3342051327584191
Advertising and Promotions Managers,1.1666259248164352,0.5583590517577315,0.015901816739521613,-0.03337697786696023,0.35602644140784107,-0.752843911157809,0.40988434684958647,-0.49148423959409415,0.5329799683331701
Aerospace Engineering and Operations Technologists and Technicians,0.6756755077396502,0.5583590517577315,0.9877438845635367,1.2965911869679427,0.7562940823295278,0.6019286334994455,0.40988434684958647,0.6419578594047268,0.5329799683331701
Aerospace Engineers,1.556349451774295,2.746191126876766,0.46699439888078076,0.5914694030016401,0.887731596723578,0.12592746916040956,0.40988434684958647,0.44807960562861276,1.6038751907866498
"Agents and Business Managers of Artists, Performers, and Athletes",0.4302002992012578,-0.11945882377528783,-0.9460738341522693,-2.3442671764460012,0.3746361218438915,-0.752843911157809,-0.9282145712117378,-0.42640622434057374,0.5329799683331701
Agricultural Engineers,1.3032822264769834,1.6596563088871101,-0.14442745840910992,0.2790462125673403,0.8903901225001563,-0.0937653759191448,-0.4250171703218978,0.8450012669957117,1.1636107918571257
Agricultural Equipment Operators,-1.0654270023058539,-1.3555477637686708,-1.4760977517513159,-0.03337697786696023,-0.7977737456273082,-0.5243633522750724,-0.8108770606903402,-0.7789121402971441,-1.6479516296871763
Agricultural Inspectors,0.5578474076412219,-0.3425839251518158,-0.5662167822616644,1.1132595231367044,0.760122359447801,0.12592746916040956,1.3824317898250176,0.25420135185249865,0.02322005265130617
"Agricultural Sciences Teachers, Postsecondary",1.0502150011796716,0.652433418824592,1.5205303989036059,-1.5198170905777084,0.24503299023568087,-1.988616164730304,-0.8134043301477238,-1.353767941703245,1.3960192713531538
Agricultural Technicians,-0.36078662018801966,0.4715211744652451,-0.8276768309655872,0.2790462125673403,0.11542985862747027,-0.3134582209986992,-0.9282145712117378,0.6419578594047268,0.024271104023845885
Air Traffic Controllers,1.6030150481191194,0.6486704441419178,1.5205303989036059,4.360334490274083,2.3406159336238295,7.815177046944826,6.518204365723118,8.903828822556708,0.3342051327584191
Aircraft Cargo Handling Supervisors,-0.3936853594766695,0.3013189349719715,0.015901816739521613,1.105926256583455,0.11675912151575935,1.8895728088268353,1.2199644675646208,1.8459011415948625,-0.8628162543998518
Aircraft Mechanics and Service Technicians,0.6756755077396502,0.21100754258778562,0.9877438845635367,1.4872561173524306,1.7464354225584935,0.8597625975164226,1.3824317898250176,0.44807960562861276,0.850397482840228
