user_id,Deductive Reasoning,Mathematical Reasoning,Memorization,Perceptual Speed,Problem Sensitivity,Selective Attention,Speed of Closure,Time Sharing,Written Comprehension
11545,1.2302793644503953,,0.6111601255834482,,,0.3153005452661959,1.2844507674841987,0.6909923710794854,
18954,1.2302793644503953,,0.8861914580262679,,,0.17091700155255765,1.0376871588394945,0.2513796155281952,
19050,-0.07085330857520218,,-0.48896520418783007,,,0.17091700155255765,-0.6896581016734359,-0.18823314002309502,
29377,-0.6284815970147439,,-0.48896520418783007,,,0.026533457838919427,0.05063272426067709,-0.6278458955743852,
63502,-0.44260550086823003,,0.8861914580262679,,,0.026533457838919427,0.05063272426067709,-1.0674586511256754,
68983,,0.2986492293803186,0.17936700552235496,-0.6875999271737111,-0.5739872181835859,-0.35413002327170007,,-0.29901996178638357,0.08395479825100673
78158,-1.3719859816007995,,0.33612879314062866,,,0.3153005452661959,-0.19613088438402726,0.6909923710794854,
96745,,1.1491112633471177,-0.5227387079019872,-0.18594002243136534,-0.522569184376162,-0.5093183795948287,,-0.29901996178638357,0.34920329127592636
106315,,-0.5518128045864805,0.6462885213804797,0.11505592041404211,-0.15151992319317903,-0.19894166694857135,,1.5683890152521107,-0.4465421877988325
110326,0.11502278757131174,,0.33612879314062866,,,0.3153005452661959,0.2973963329053814,0.2513796155281952,
172325,1.2302793644503953,,0.6111601255834482,,,0.17091700155255765,-0.4428944930287316,0.47118599330384026,
174807,-0.25672940472171607,,-0.7639965366306496,,,0.17091700155255765,-0.9364217103181403,0.47118599330384026,
183131,-0.6284815970147439,,-0.7639965366306496,,,-0.1178500858747188,-0.9364217103181403,-0.18823314002309502,
190451,-1.1861098854542858,,-0.7639965366306496,,,0.3153005452661959,0.7909235501947901,-1.0674586511256754,
193401,1.2302793644503953,,0.8861914580262679,,,0.026533457838919427,1.2844507674841987,1.1306051266307755,
231673,1.2302793644503953,,3.3614734500116437,,,-0.1178500858747188,0.05063272426067709,0.6909923710794854,
231758,-1.0002337893077717,,-0.7639965366306496,,,0.3153005452661959,-0.6896581016734359,0.9107987488551305,
264871,-0.8143576931612578,,-0.21393387174501047,,,0.3153005452661959,-0.19613088438402726,0.6909923710794854,
267403,1.787907652889937,,0.6111601255834482,,,0.3153005452661959,1.0376871588394945,0.6909923710794854,
288174,-0.25672940472171607,,-0.48896520418783007,,,0.3153005452661959,1.5312143761289032,-0.8476522733500303,
306144,1.416155460596909,,-0.7639965366306496,,,0.3153005452661959,0.2973963329053814,0.03157323775255009,
314623,,0.2986492293803186,-0.2501668802086013,2.021363558434956,-0.6163487547545461,-0.8196950922410862,,0.6346845267328636,-1.5075361598985109
332942,-0.6284815970147439,,1.7112854553547265,,,0.026533457838919427,-0.19613088438402726,0.6909923710794854,
334338,,0.08603372088861884,-0.6307503556300479,-0.6875999271737111,-0.05436017491575862,-0.27653584511013574,,-1.2327244503056307,-0.18129369477391288
