Title,Deductive Reasoning,Mathematical Reasoning,Memorization,Perceptual Speed,Problem Sensitivity,Selective Attention,Speed of Closure,Time Sharing,Written Comprehension
Accountants and Auditors,0.5395639099879755,1.2853734593775212,-0.12376072641528005,0.4555910926607719,0.350777530759236,-0.7473819017890624,1.0358995319095934,-0.7308084271919454,0.5980533737296946
Actors,-1.3731201878673982,-2.669501697140258,4.055618123317489,-2.122573465123315,-1.1684851643670096,-0.23039737394116272,-1.0006501728376684,0.39801161271723934,0.5980533737296946
Actuaries,1.0891857771877955,3.3458966501682976,0.21058958156334176,-0.18895004678524976,0.6642761821344928,0.8466537257419606,0.33918515923289894,-0.364704630464642,0.8052255973524193
Acupuncturists,0.8253672809318816,-1.0077894465025354,-1.1825367016809145,-0.5241114392971807,0.6642761821344928,-0.23039737394116272,-0.6522929864993211,0.39801161271723934,0.37361679813840976
Acute Care Nurses,1.3530042734437093,0.6539228041351869,1.603715864807598,0.4555910926607719,1.556541574510225,0.8466537257419606,1.6790204913034663,1.1607278558991208,1.2368343965664288
Adapted Physical Education Specialists,0.8253672809318816,-1.0077894465025354,0.9071527231854699,-0.18895004678524976,0.6642761821344928,0.28658715390673695,0.6875423455712462,0.7946240591718173,0.5980533737296946
Adhesive Bonding Machine Operators and Tenders,-0.8454831953555706,-0.1769333211836743,-0.8481863937022928,1.1001322321067937,-0.541487861616496,0.28658715390673695,-0.6522929864993211,0.39801161271723934,-0.714037375880894
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.3530042734437093,-0.5923613838431049,0.5449398895419636,-0.5241114392971807,0.9536595526347305,0.28658715390673695,0.6875423455712462,0.39801161271723934,1.2368343965664288
Administrative Services Managers,0.25376053904406937,0.02247214889285256,0.5449398895419636,-0.18895004678524976,-0.2521044911162584,0.28658715390673695,-1.0006501728376684,1.526831652626424,0.8052255973524193
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",-0.010057957211844468,0.45451733405866,0.9071527231854699,-0.5241114392971807,-0.2521044911162584,-0.23039737394116272,0.33918515923289894,0.39801161271723934,0.8052255973524193
Advanced Practice Psychiatric Nurses,1.3530042734437093,0.02247214889285256,0.9071527231854699,0.14621134572668124,2.448806966885957,1.4067202975771844,1.0358995319095934,0.39801161271723934,1.012397820975144
Advertising Sales Agents,-0.8454831953555706,0.2384947414757563,-0.12376072641528005,-0.18895004678524976,-1.1684851643670096,-0.23039737394116272,0.6875423455712462,0.7946240591718173,0.5980533737296946
Advertising and Promotions Managers,0.8253672809318816,0.6539228041351869,0.21058958156334176,0.14621134572668124,0.03727887938397919,-0.7473819017890624,0.33918515923289894,0.39801161271723934,0.8052255973524193
Aerospace Engineering and Operations Technologists and Technicians,0.8253672809318816,0.6539228041351869,0.9071527231854699,1.1001322321067937,0.6642761821344928,0.28658715390673695,0.33918515923289894,0.7946240591718173,0.8052255973524193
Aerospace Engineers,1.0891857771877955,2.1162295846963826,0.5449398895419636,0.4555910926607719,0.9536595526347305,-0.23039737394116272,0.6875423455712462,0.39801161271723934,1.012397820975144
"Agents and Business Managers of Artists, Performers, and Athletes",0.5395639099879755,0.02247214889285256,-1.1825367016809145,-2.4319532120574054,0.6642761821344928,-0.7473819017890624,-1.0006501728376684,-0.364704630464642,0.8052255973524193
Agricultural Engineers,1.0891857771877955,1.2853734593775212,-0.4859735600587864,0.14621134572668124,0.6642761821344928,-0.23039737394116272,-0.6522929864993211,0.7946240591718173,0.8052255973524193
Agricultural Equipment Operators,-1.1093016916114844,-1.63924010174487,-0.8481863937022928,0.14621134572668124,-0.541487861616496,-0.7473819017890624,-0.6522929864993211,-0.364704630464642,-2.216035997145647
Agricultural Inspectors,0.8253672809318816,-0.1769333211836743,-0.8481863937022928,1.1001322321067937,0.9536595526347305,-0.23039737394116272,1.6790204913034663,0.39801161271723934,0.149180222547125
"Agricultural Sciences Teachers, Postsecondary",1.0891857771877955,0.6539228041351869,1.603715864807598,-1.8131937181892241,0.350777530759236,-1.8675150454595097,-1.0006501728376684,-1.5240333201011014,1.012397820975144
Agricultural Technicians,-0.2738764534677583,0.6539228041351869,-1.1825367016809145,0.4555910926607719,0.350777530759236,-0.23039737394116272,-1.0006501728376684,0.39801161271723934,-0.05799200107559974
Air Traffic Controllers,1.9246110153315217,0.8533282742117138,1.603715864807598,3.3431353973789495,2.762305618261214,6.231909224157578,4.707048341782948,4.5776966253539495,0.5980533737296946
Aircraft Cargo Handling Supervisors,0.25376053904406937,0.45451733405866,0.21058958156334176,1.4352936246187247,0.6642761821344928,1.923704825425084,1.3574600116065298,1.923444099081002,-0.714037375880894
Aircraft Mechanics and Service Technicians,0.8253672809318816,0.2384947414757563,1.2693655568289763,1.4352936246187247,2.1594235963857193,0.8466537257419606,1.3574600116065298,0.39801161271723934,1.012397820975144
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.8454831953555706,-0.5923613838431049,-1.1825367016809145,0.4555910926607719,0.350777530759236,-0.23039737394116272,-0.6522929864993211,0.001399166262661339,-0.714037375880894
Airfield Operations Specialists,1.3530042734437093,0.02247214889285256,-0.4859735600587864,1.1001322321067937,1.243042923134968,0.8466537257419606,1.0358995319095934,1.1607278558991208,0.8052255973524193
"Airline Pilots, Copilots, and Flight Engineers",1.3530042734437093,0.8533282742117138,1.9380661727862198,3.3431353973789495,2.762305618261214,4.077807024791331,2.3757348639801608,4.211592828626646,0.8052255973524193
Allergists and Immunologists,1.6388076443876154,0.6539228041351869,1.2693655568289763,0.4555910926607719,2.1594235963857193,2.4406893532729836,1.3574600116065298,1.1607278558991208,1.2368343965664288
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.5596798244116644,-1.0077894465025354,-1.1825367016809145,0.4555910926607719,0.6642761821344928,-0.23039737394116272,0.6875423455712462,1.526831652626424,-0.714037375880894
Amusement and Recreation Attendants,-1.6589235588113045,-0.8083839764260087,-1.1825367016809145,-1.8131937181892241,-0.2521044911162584,-0.7473819017890624,-1.0006501728376684,-1.1274208736465234,-1.3528183987176283
Anesthesiologist Assistants,0.8253672809318816,0.6539228041351869,0.9071527231854699,2.389214510998837,1.243042923134968,3.000755925108207,1.3574600116065298,1.1607278558991208,0.8052255973524193
Anesthesiologists,2.1884295115874353,0.6539228041351869,-0.12376072641528005,2.389214510998837,3.3651876401367082,3.5608224969434312,1.0358995319095934,1.1607278558991208,1.2368343965664288
Animal Breeders,-0.8454831953555706,-0.3763387912602012,-1.8790998433030426,-0.5241114392971807,-1.1684851643670096,-2.3844995733074095,-0.6522929864993211,-2.256240913555708,-1.1283818231263436
Animal Caretakers,-1.1093016916114844,-1.0077894465025354,-0.8481863937022928,-1.8131937181892241,-1.1684851643670096,-1.8675150454595097,-1.3222106525346047,-1.5240333201011014,-1.1283818231263436
